"pattern","path","line","text"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-render-validated.json","65","""FFmpeg filter subtitles=... was applied"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-render-validated.json","83","{ ""id"": 10, ""name"": ""subtitlesFilterApplied = true"", ""description"": ""🔥 CRITICAL: FFmpeg actually rendered subtitles"" }"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-render-validated.json","97","""✓ Detecta si FFmpeg aplicó el filtro subtitles (no solo ASS file)"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-render-validated.json","106","""step1"": ""executeRender() → ffmpeg command includes subtitles='...'"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-visual-check-final.json","9","""2. Extrae frame con FFmpeg en cada punto (scale 1080x1920)"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-visual-check-final.json","33","""name"": ""FFmpeg filter applied"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-visual-check-final.json","53","""Extract with FFmpeg: -ss <timestamp> -i video -vframes 1 -vf scale=1080:1920"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-visual-check-final.json","73","{ ""id"": 10, ""name"": ""subtitlesFilterApplied = true"", ""layer"": ""ffmpeg filter"" },"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-visual-check-final.json","108","""step3"": ""Check 6.5: FFmpeg filter in metadata"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\data\subtitle-visual-check-final.json","130","""FFmpeg commands"""
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","3","* EMERGENCY FFmpeg DEBUGGING"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","4","* - Audita comando FFmpeg actual"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","15","const ffmpegInstaller = require('@ffmpeg-installer/ffmpeg');"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","16","const ffprobeInstaller = require('@ffprobe-installer/ffprobe');"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","25","logger.info('EMERGENCY FFmpeg DEBUGGING');"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","28","// 1. Verificar ffmpeg path"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","32","logger.info(`ffmpeg exists: ${fs.existsSync(ffmpegInstaller.path)}`);"
